Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2022,Honda,Pilot TrailSport,New,"$46,500 ",5.0,12,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H82NB100429
2022,Honda,Pilot Special Edition,New,"$44,600 ",5.0,333,Dark Cherry Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB087120
2023,Honda,Pilot Sport,New,"$42,595 ",4.3,1239,Lunar Silver Metallic,Black,All-wheel Drive,19–25,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H3XPB002207
2023,Honda,Pilot Elite,New,"$53,720 ",4.3,1239,White,Brown,All-wheel Drive,19–25,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H80PB000865
2022,Honda,Ridgeline RTL-E,New,"$43,190 ",4.7,790,Platinum White Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F73NB023890
2022,Honda,Ridgeline RTL-E,New,"$42,795 ",4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71NB015061
2022,Honda,Passport Elite,New,"$41,950 ",4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05NB011492
2022,Honda,Accord Sport 1.5T,New,"$30,469 ",5.0,5,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,continuously variable,4 Cylinder Engine,1HGCV1F32NA089319
2023,Honda,HR-V Sport,New,"$29,039 ",4.6,5,Platinum White Pearl,Black,All-wheel Drive,25–30,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H52PM722919
2023,Honda,CR-V EX-L,New,"$36,504 ",4.7,5,Crystal Black Pearl,Gray,All-wheel Drive,27–32,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H79PH400825
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,239 ",4.4,5,Platinum White Pearl,Black,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H94PH800174
2023,Honda,CR-V Hybrid Sport,New,"$34,089 ",4.4,5,Platinum White Pearl,Black,Front-wheel Drive,43–36,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS5H54PH700891
2022,Honda,Civic Sport,New,"$25,845 ",4.6,5,Rallye Red,Black,Front-wheel Drive,29–37,Gasoline,continuously variable,4 Cylinder Engine,19XFL2H87NE021708
2022,Honda,Pilot TrailSport,New,"$46,420 ",4.4,877,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H89NB083368
2022,Honda,Passport Elite,New,"$47,620 ",4.9,273,Platinum White Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H08NB029825
2022,Honda,Pilot Sport,New,"$39,595 ",4.5,1691,Crystal Black Pearl,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB102612
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.6,880,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB084560
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.8,723,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",4.8,723,Platinum White Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA025528
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",4.8,723,Crystal Black Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA061033
2022,Honda,Passport Elite,New,"$47,050 ",5.0,2599,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB003457
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.9,559,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455
2022,Honda,Pilot TrailSport,New,"$46,719 ",4.5,820,Platinum White Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H84NB098618
2022,Honda,Passport TrailSport,New,"$41,500 ",4.5,3710,–,–,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H69NB023701
2022,Honda,Pilot EX-L,New,"$43,605 ",5.0,2231,Lunar Silver Metallic,Gray,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H59NB104872
