Year,Make,Model,Condition,Price,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Honda,Ridgeline RTL,New,"$46,370 ",830164,10,5,4.8,4.8,4.2,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,150 ",6402953,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,245 ",PH704805,1,5,3,4,4,5,5,CA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",5700429B,5,5,5,5,5,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,395 ",5705954,5,5,3,4,4,5,5,CA,Dealer
2023,Honda,Odyssey EX-L,New,"$42,250 ",5724270,5,5,5,4,4,4,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",5703596A,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",2905315X,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",2900573X,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,700 ",2903791,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850 ",2903271X,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,Pilot Elite,New,"$53,375 ",30444,–,,,,,,,CA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,600 ",78543,3,5,5,5,5,5,5,NV,Dealer
2023,Honda,CR-V EX-L,New,"$34,640 ",PL000638,5,5,5,5,4,4,5,AZ,Dealer
2023,Honda,Pilot Sport,New,"$42,595 ",44695,1,,,,,,,UT,Dealer
2023,Honda,Pilot Elite,New,"$53,720 ",44677,1,,,,,,,UT,Dealer
2023,Honda,Pilot TrailSport,New,"$50,150 ",2C0289,–,,,,,,,CO,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,939 ",PH800251,15,5,3,4,4,5,5,CO,Dealer
2022,Honda,Ridgeline RTL-E,New,"$43,190 ",229145,10,5,4.9,4.9,4.3,4.7,5,WA,Dealer
2022,Honda,Ridgeline RTL-E,New,"$42,795 ",229118,9268,5,4.9,4.9,4.3,4.7,5,WA,Dealer
2022,Honda,Passport Elite,New,"$41,950 ",224029,9352,5,5,4.9,5,4.9,5,WA,Dealer
2023,Honda,Ridgeline RTL-E,New,"$48,820 ",X7016,5,5,4.8,4.8,4.2,5,5,NE,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,469 ",22049,4,5,5,5,5,5,5,OK,Dealer
2023,Honda,HR-V Sport,New,"$29,039 ",23027,16,4,5,4,5,5,5,OK,Dealer
2023,Honda,CR-V EX-L,New,"$36,504 ",23011,2,5,5,5,4,4,5,OK,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,239 ",23023,7,5,3,4,4,5,5,OK,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,089 ",23029,2,5,3,4,4,5,5,OK,Dealer
2022,Honda,Civic Sport,New,"$25,845 ",22015,18,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer
2022,Honda,Pilot TrailSport,New,"$46,420 ",HN209,5,5,5,5,5,5,5,OK,Dealer
2022,Honda,Passport Elite,New,"$47,620 ",NB029825,10,5,5,4.9,5,4.9,5,TX,Dealer
2022,Honda,Pilot Sport,New,"$39,595 ",NB102612,5,5,5,5,5,5,5,TX,Dealer
2023,Honda,Ridgeline RTL,New,"$43,482 ",PB012724,5,5,4.8,4.8,4.2,5,5,TX,Dealer
2023,Honda,CR-V EX-L,New,"$35,400 ",43018,10,5,5,5,4,4,5,TX,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",NB084560,8,5,5,5,5,5,5,OK,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",H061052R,5,5,5,5,5,5,5,KS,Dealer
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",H025528,5,5,5,5,5,5,5,KS,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",H061033R,5,5,5,5,5,5,5,KS,Dealer
2023,Honda,Accord EX,New,"$30,705 ",P0221,–,,,,,,,MO,Dealer
2022,Honda,Passport Elite,New,"$47,050 ",Z02724-28,–,5,5,4.9,5,4.9,5,TX,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",116455,10,5,5,5,5,5,5,TX,Dealer
