id,id,year,make,model,condition,price,consumer_rating,comfort_rating,performance_rating,value_for_money_rating,reliability_rating,mileage,fuel_type,engine,state,seller_type
1,1,2022,Honda,Pilot Touring 7-Passenger,New,"$46,500",5,5,5,5,5,1,Gasoline,3.5L V6 24V GDI SOHC,MA,Dealer
2,2,2022,Honda,Accord Hybrid Sport,New,"$44,600",5,4.9,5,4.9,5,12,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
3,3,2023,Honda,Accord Sport SE,New,"$42,595",4.3,5,5,5,5,2,Gasoline,V6 Cylinder Engine,LA,Dealer
4,4,2022,Honda,Pilot EX-L,New,"$30,470",5,5,5,5,5,1,Gasoline,1.5L I4 16V GDI DOHC Turbo,MA,Dealer
5,5,2023,Honda,CR-V Hybrid Sport Touring,New,"$53,720",4.3,5,4,4,5,4,Gasoline,V6 Cylinder Engine,MA,Dealer
6,6,2022,Honda,Pilot Sport,New,"$43,190",4.7,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
7,7,2022,Honda,Pilot EX-L,New,"$42,795",4.7,5,5,5,5,1,Gasoline,3.5L V6 24V GDI SOHC,MA,Dealer
8,8,2022,Honda,Ridgeline RTL,New,"$41,950",4.7,5,4.8,4.2,5,10,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
9,9,2022,Honda,CR-V EX,New,"$30,470",5,5,5,4,5,5,Gasoline,1.5L I4 16V GDI DOHC Turbo,CA,Dealer
10,10,2022,Honda,Pilot Sport,New,"$30,469",5,5,5,5,5,5,Gasoline,4 Cylinder Engine,IL,Dealer
11,11,2022,Honda,CR-V Hybrid Sport,New,"$40,770",4.6,5,4,4,5,3,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
12,12,2022,Honda,Odyssey Sport,New,"$40,770",5,5,4,4,5,5,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
13,13,2022,Honda,CR-V Hybrid Sport Touring,New,"$50,125",5,5,4,4,5,8,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
14,14,2022,Honda,Ridgeline Black Edition,New,"$40,270",4.8,5,4.8,4.2,5,5,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
15,15,2022,Honda,Odyssey Touring,New,"$40,270",4.9,5,4,4,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
16,16,2022,Honda,Pilot Sport,New,"$40,270",4.9,5,5,5,5,7,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
17,17,2022,Honda,CR-V Hybrid Sport,New,"$34,755",5,5,4,4,5,â€“,Gasoline,2.0L I4 16V GDI DOHC Turbo,CA,Dealer
18,18,2022,Honda,CR-V Hybrid Sport,New,"$30,470",5,5,4,4,5,1,Gasoline,1.5L I4 16V GDI DOHC Turbo,CA,Dealer
19,19,2022,Honda,Odyssey Sport,New,"$39,406",4.3,5,4,4,5,8,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
20,20,2022,Honda,Pilot TrailSport,New,"$40,770",3.7,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
21,21,2023,Honda,Pilot TrailSport,New,"$50,350",4.3,5,5,5,5,3042,Gasoline,V6 Cylinder Engine,IL,Dealer
22,22,2022,Honda,CR-V Hybrid Sport Touring,New,"$46,500",3.7,5,4,4,5,5,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
